,area_km2,catch_name,elev_ft,id,Rainfall (mm),Snowmelt (mm),Baseflow (mm)
0,5122.5534,SAN JOAQUIN R,294,SJF,426.7984449462916,292.36725885793885,206.22557380287006
1,4722.405299999999,TUOLUMNE R,170,TLG,545.5939956713487,380.8592653433898,215.43140888525465
2,6226.9722,KERN R,2635,ISB,244.38936235351792,253.32174442661093,80.32077306468925
3,5838.2694,AMERICAN R,132,NAT,850.4102503360008,374.0146741222358,252.82074458931703
4,1672.7633999999998,COSUMNES R,168,MHB,818.5771243498388,306.5290951490228,117.55020391252032
5,2801.79,STANISLAUS R,1135,NML,603.0412341704084,379.8362234823787,192.05686287434295
6,11475.1485,FEATHER R,900,ORO,712.3395133502356,308.63426508088975,221.4603638025685
7,1701.7128,KAWEAH R,752,TRM,527.9753598813945,266.116959519255,159.4017843063139
8,1688.1372,MOKELUMNE R,575,MKM,712.3817463145022,334.1261111912282,239.48635172233313
9,1182.0492,TULE R,692,SCC,504.78821989989206,243.1225553600667,65.63844819565408
10,4702.9572,KINGS R,970,PNF,406.03907694240985,279.8873537934219,218.84344488300133
11,3215.7486,MERCED R,879,EXC,550.1624063931376,319.92604687436284,173.50074965018882
12,1125.657,CALAVERAS R,554,NHG,747.4951311862696,278.5688928458378,39.85352001700247
13,3499.5807,YUBA R,280,YRS,1029.163784583447,393.88767488861,341.2514025765385
14,24146.043299999998,SACRAMENTO R,1067,SHA,508.9835991970138,300.46059583451006,152.01877402108687
