CDEC ID,Watershed Name,Area (sq km),Outlet Elevation (m),Rainfall (mm),Snowmelt (mm),Baseflow (mm),K (days)
SHA,SACRAMENTO,24146,325,230.5,300.4,152.0,3
ORO,FEATHER,11475,274,340.9,308.5,221.5,46
YRS,YUBA,3500,85,475.4,393.8,341.3,71
NAT,AMERICAN,5838,40,394.7,373.9,252.8,20
MHB,COSUMNES,1673,51,170.1,306.4,117.6,21
MKM,MOKELUMNE,1688,175,508.8,334.0,239.5,11
NML,STANISLAUS,2802,346,560.2,379.7,192.1,7
NHG,CALAVERAS,1126,169,24.2,278.6,39.9,17
TLG,TUOLUMNE,4722,52,537.5,380.7,215.4,12
EXC,MERCED,3216,268,462.3,319.8,173.5,7
SJF,SAN JOAQUIN,5123,90,542.6,292.3,206.2,9
PNF,KINGS,4703,296,589.3,279.8,218.8,8
TRM,KAWEAH,1702,229,364.1,266.0,159.4,248
SCC,TULE,1182,211,133.0,243.0,65.6,3
ISB,KERN,6227,803,295.2,253.2,80.3,35
